"マリアさんはみんなに人気があります。","マリアさんはみんなに 人気[にんき]があります。","Maria-san is popular with everyone.<br><br>人気[にんき] - popular","Maria-san es popular entre todos.<br><br>人気[にんき] - popular","[sound:JLPT_Tango_N4_0557.mp3]","","単語N4"
"忙しくて、デートする時間がありません。","忙[いそが]しくて、デートする 時間[じかん]がありません。","""I'm so busy I don't even have time to date.<br><br>デート＜する＞ - date""","Estoy tan ocupado que ni siquiera tengo tiempo para salir con alguien.<br><br>デート＜する＞ - date","[sound:JLPT_Tango_N4_0558.mp3]","","単語N4"
"恋人を海に連れて行ってあげたいです。","恋人[こいびと]を 海[うみ]に 連[つ]れて 行[い]ってあげたいです。","I want to take my partner to the beach.<br><br>連[つ]れて 行[い]く - to take (a person) with","Quiero llevar a mi pareja a la playa.<br><br>連[つ]れて[い} 行[い]く - llevar (a una persona) con","[sound:JLPT_Tango_N4_0560.mp3]","","単語N4"
"弟が女の子を家に連れて来ました。","弟[おとうと]が 女[おんな]の 子[こ]を 家[いえ]に 連[つ]れて 来[き]ました。","My younger brother brought a girl home.<br><br>連[つ]れて 来[く]る - to bring (a person) along","Mi hermano menor trajo una chica a casa.<br><br>[連[つ]れて 来[く]る - traer (a una persona)","[sound:JLPT_Tango_N4_0561.mp3]","","単語N4"
"来週、レストランでお見合いをします。","来週[らいしゅう]、レストランでお 見合[みあ]いをします。","""Next week, I'm going to an arranged meeting to find a marriage partner at a restaurant.<br><br>（お） 見合[みあ]い＜する＞ - arranged meeting to find a marriage partner""","La semana que viene, voy a una reunión concertada para encontrar pareja matrimonial en un restaurante.<br><br>（お） 見合[みあ]い＜する＞ - reunión concertada para encontrar pareja de hecho","[sound:JLPT_Tango_N4_0562.mp3]","","単語N4"
"姉が私の友達と婚約しました。","姉[あね]が 私[わたし]の 友達[ともだち]と 婚約[こんやく]しました。","My older sister got engaged to my friend.<br><br>婚約[こんやく]＜する＞ - engagement","Mi hermana mayor se comprometió con mi amigo.<br><br>[婚約[こんやく]＜する＞ - compromiso","[sound:JLPT_Tango_N4_0563.mp3]","","単語N4"
"来月、姉が結婚します。","来月[らいげつ]、 姉[あね]が 結婚[けっこん]します。","My older sister is getting married next month.<br><br>結婚[けっこん]＜する＞ - marriage","Mi hermana mayor se casa el mes que viene.<br><br>[結婚[けっこん]＜する＞ - matrimonio","[sound:JLPT_Tango_N4_0564.mp3]","","単語N4"
"婚約したことを友達に知らせました。","婚約[こんやく]したことを 友達[ともだち]に 知[し]らせました。","I told my friends I got engaged.<br><br>知[し]らせる - to inform, to let (someone) know","Les dije a mis amigos que me había comprometido.<br><br>知[し]らせる - informar, hacer saber (a alguien)","[sound:JLPT_Tango_N4_0565.mp3]","","単語N4"
"二人は目で合図をしていました。","二人[ふたり]は 目[め]で 合図[あいず]をしていました。","The two people signaled to each other with their eyes.<br><br>合図[あいず]＜する＞ - sign, signal","Las dos personas se hicieron señas con los ojos.<br><br>合図[あいず]＜する＞ - signo, señal","[sound:JLPT_Tango_N4_0566.mp3]","","単語N4"
"あの二人はいつも喧嘩しています。","あの 二人[ふたり]はいつも 喧嘩[けんか]しています。","Those two are always fighting.<br><br>喧嘩[けんか]＜する＞ - fight","Esos dos siempre están peleando.<br><br>喧嘩[けんか]＜する＞ - pelea","[sound:JLPT_Tango_N4_0567.mp3]","","単語N4"
"友達に嘘を吐いてはいけません。","友達[ともだち]に 嘘[うそ]を 吐[つ]いてはいけません。","""You mustn't lie to your friend.<br><br>嘘[うそ] - lie""","No debes mentir a tu amigo.<br><br>嘘[うそ] - mentira","[sound:JLPT_Tango_N4_0568.mp3]","","単語N4"
"二人は別れてしまいました。","二人[ふたり]は 別[わか]れてしまいました。","The two of them broke up.<br><br>別[わか]れる - to separate, to break up","Los dos se separaron.<br><br>別[わか]れる - separar, romper","[sound:JLPT_Tango_N4_0569.mp3]","","単語N4"
"彼は私を「君」と呼びます。","彼[かれ]は 私[わたし]を「 君[きみ]」と 呼[よ]びます。","He calls me kimi.<br><br>君[きみ] - you<br><br>When calling someone, 「～ 君[くん]」 is used.","Me llama kimi.<br><br>君[きみ] - tú<br><br>Cuando se llama a alguien, se utiliza 「～君[くん]」.","[sound:JLPT_Tango_N4_0573.mp3]","","単語N4"
"僕は君が大好きです。","僕[ぼく]は 君[きみ]が 大好[だいす]きです。","I love you.<br><br>僕[ぼく] - me","Te quiero.<br><br>僕[ぼく] - yo","[sound:JLPT_Tango_N4_0574.mp3]","","単語N4"
"大学の友達はまだみんな独身です。","大学[だいがく]の 友達[ともだち]はまだみんな 独身[どくしん]です。","All of my college friends are still single.<br><br>独身[どくしん] - single","Todos mis amigos de la universidad siguen solteros.<br><br>独身[どくしん] - solteros","[sound:JLPT_Tango_N4_0575.mp3]","","単語N4"
"あの二人はどういう関係ですか。","あの 二人[ふたり]はどういう 関係[かんけい]ですか。","What is the relationship between those two?<br><br>関係[かんけい] - relationship","¿Cuál es la relación entre estos dos? <br><br>関係[かんけい] - relación","[sound:JLPT_Tango_N4_0576.mp3]","","単語N4"
"彼女は私の大事な人です。","彼女[かのじょ]は 私[わたし]の 大事[だいじ]な 人[ひと]です。","She is an important person to me.<br><br>大事[だいじ]な - important","Es una persona importante para mí.<br><br>大事[だいじ]な - importante","[sound:JLPT_Tango_N4_0577.mp3]","","単語N4"
"彼女は僕にとって特別な人です。","彼女[かのじょ]は 僕[ぼく]にとって 特別[とくべつ]な 人[ひと]です。","She is a special person to me.<br><br>特別[とくべつ]な - special","Es una persona especial para mí.<br><br>特別[とくべつ]な - especial","[sound:JLPT_Tango_N4_0578.mp3]","","単語N4"
"日本の生活で困っていることはありませんか。","日本[にほん]の 生活[せいかつ]で 困[こま]っていることはありませんか。","Are you having any problems with life in Japan?<br><br>困[こま]る - to be in trouble, to have trouble with","¿Tienes problemas con la vida en Japón? <br><br>困[こま]る - tener problemas, tener problemas con","[sound:JLPT_Tango_N4_0579.mp3]","","単語N4"
"電車の網棚に忘れ物をしました。","電車[でんしゃ]の 網棚[あみだな]に 忘[わす]れ 物[もの]をしました。","I forgot something on the overhead rack on the train.<br><br>忘れ物[わすれもの] - forgotten item","Olvidé algo en el estante superior del tren.<br><br>忘れ物[わすれもの] - objeto olvidado","[sound:JLPT_Tango_N4_0580.mp3]","","単語N4"
"電子辞書が無くなってしまいました。","電子[でんし] 辞書[じしょ]が 無[な]くなってしまいました。","My electronic dictionary is missing.<br><br>無[な]くなる - to go missing, to be gone","Mi diccionario electrónico ha desaparecido.<br><br>無[な]くなる - Desaparecer, no estar","[sound:JLPT_Tango_N4_0581.mp3]","","単語N4"
"昨日、何処かで財布を無くしました。","昨日[きのう]、 何処[どこ]かで 財布[さいふ]を 無[な]くしました。","I lost my wallet somewhere yesterday.<br><br>無[な]くす - to lose","Ayer perdí mi cartera en algún lugar.<br><br>[無[な]くす - perder","[sound:JLPT_Tango_N4_0582.mp3]","","単語N4"
"道でスマホを落としました。","道[みち]でスマホを 落[お]としました。","I dropped my smartphone on the street.<br><br>落[お]とす - to drop","Se me ha caído el smartphone en la calle.<br><br>落[お]とす - para dejar caer","[sound:JLPT_Tango_N4_0583.mp3]","","単語N4"
"荷物が下に落ちてしまいました。","荷物[にもつ]が 下[した]に 落[お]ちてしまいました。","My bag fell down there.<br><br>落[お]ちる - to fall","Mi bolsa se cayó allí.<br><br>落[お]ちる - para caer","[sound:JLPT_Tango_N4_0584.mp3]","","単語N4"
"テレビのリモコンが壊れてしまいました。","テレビのリモコンが 壊[こわ]れてしまいました。","The TV remote broke.<br><br>壊[こわ]れる - to break, to fall apart","El mando de la televisión se rompió.<br><br>壊[こわ]れる - romper, desarmar","[sound:JLPT_Tango_N4_0585.mp3]","","単語N4"
"壊れたエアコンを直して下さい。","壊[こわ]れたエアコンを 直[なお]して 下[くだ]さい。","Please fix the broken air conditioner.<br><br>直[なお]す - to fix","Por favor, arregle el aire acondicionado roto.<br><br>直[なお]す - para arreglar","[sound:JLPT_Tango_N4_0586.mp3]","","単語N4"
"図書館で借りた本が破れていました。","図書館[としょかん]で 借[か]りた 本[ほん]が 破[やぶ]れていました。","The book I borrowed from the library was torn.<br><br>破[やぶ]れる - to be torn","El libro que tomé prestado de la biblioteca estaba roto.<br><br>破[やぶ]れる - estar roto","[sound:JLPT_Tango_N4_0587.mp3]","","単語N4"
"彼から来た手紙を破りました。","彼[かれ]から 来[き]た 手紙[てがみ]を 破[やぶ]りました。","I tore up the letter I got from him.<br><br>破[やぶ]る - to tear","Rompí la carta que recibí de él.<br><br>[破[やぶ]る - para romper","[sound:JLPT_Tango_N4_0588.mp3]","","単語N4"
"買ったばかりのシャツを汚してしまいました。","買[か]ったばかりのシャツを 汚[よご]してしまいました。","I got the shirt I just bought dirty.<br><br>汚[よご]す - to get dirty, to make dirty","Tengo la camisa que acabo de comprar sucia.<br><br>汚[よご]す - ensuciar, ensuciar","[sound:JLPT_Tango_N4_0589.mp3]","","単語N4"
"テーブルが少し汚れていますね。","テーブルが 少[すこ]し 汚[よご]れていますね。","The table is a little dirty.<br><br>汚[よご]れる - to be dirty","La mesa está un poco sucia.<br><br>汚[よご]れる - estar sucia","[sound:JLPT_Tango_N4_0590.mp3]","","単語N4"
"部長のカップを割ってしまいました。","部長[ぶちょう]のカップを 割[わ]ってしまいました。","""I broke the department chief's cup.<br><br>割[わ]る - to crack, to break, to smash""","Rompí la copa del jefe de departamento.<br><br>割[わ]る - romper, quebrar, aplastar","[sound:JLPT_Tango_N4_0591.mp3]","","単語N4"
"台風で家の窓ガラスが割れました。","台風[たいふう]で 家[いえ]の 窓[まど]ガラスが 割[わ]れました。","The windows in the house were shattered by the typhoon.<br><br>割[わ]れる - to be cracked, to be broken, to be smashed, to be shattered","Las ventanas de la casa fueron destrozadas por el tifón.<br><br>割[わ]れる - romperse, romperse, romperse, romperse en pedazos","[sound:JLPT_Tango_N4_0592.mp3]","","単語N4"
"外で大きい音がします。","外[そと]で 大[おお]きい 音[おと]がします。","There is a loud noise coming from the outside.<br><br>音[おと] - sound","Hay un fuerte ruido que viene del exterior.<br><br>音[おと] - sonido","[sound:JLPT_Tango_N4_0593.mp3]","","単語N4"
"上の部屋の人が夜中に騒いでいます。","上[うえ]の 部屋[へや]の 人[ひと]が 夜中[よなか]に 騒[さわ]いでいます。","The people in the room above me are noisy late at night.<br><br>騒[さわ]ぐ - to make noise, to be noisy","La gente de la habitación de arriba es ruidosa a altas horas de la noche.<br><br>騒[さわ]ぐ - hacer ruido, ser ruidoso","[sound:JLPT_Tango_N4_0594.mp3]","","単語N4"
"このアパートは車の音が煩いです。","このアパートは 車[くるま]の 音[おと]が 煩[うるさ]いです。","The sound of cars is very loud in this apartment.<br><br>煩[うるさ]い - loud, noisy","El sonido de los coches es muy fuerte en este apartamento.<br><br>煩[うるさ]い - fuerte, ruidoso","[sound:JLPT_Tango_N4_0595.mp3]","","単語N4"
"昨日、家に泥棒が入りました。","昨日[きのう]、 家[いえ]に 泥棒[どろぼう]が 入[はい]りました。","A thief got into my home yesterday.<br><br>泥棒[どろぼう] - thief, burglar","Un ladrón entró ayer en mi casa.<br><br>泥棒[どろぼう] - ladrón, ladrón","[sound:JLPT_Tango_N4_0596.mp3]","","単語N4"
